trip,dd,mm,yyyy,plantID,cii,tnlc,bang,btype,lblade,phylotax,phylotax2,growth-leaves,growth-branches,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,rhf,nl,np,lhm,phm,ef,rhs,td,tl,tv,thm,ldm,pdm,ttype,tdm,QC1,scan
10,9,10,2017,003088,1,NA,30,Horizontal,compound,alternate,spiral,?,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3705,2,2,312,213,77,1500,NA,NA,NA,NA,156,80,NA,NA,NO,ok
10,9,10,2017,009302,1,NA,?,?,simple,opposite,distic,r,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3657,20,20,203,7,146,1500,NA,NA,NA,NA,83,2,NA,NA,NO,ok
10,9,10,2017,003035,1.25,NA,30,Horizontal,simple,alternate,distic,r,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3649,7,7,571,42,239,1500,NA,NA,NA,NA,289,14,NA,NA,NO,ok
10,9,10,2017,003029,1.25,NA,45;60?,?,simple,opposite,cruzada,c?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,990,102,763,872,NA,NA,NA,408,NO,NA
10,9,10,2017,003030,1.25,NA,0;30;45,both,simple,opposite,distic,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3715,10,10,162,4,143,1500,534,104,274,313,69,2,NA,186,NO,ok
10,9,10,2017,002960,1.125,NA,0,Horizontal,simple,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3725,6,6,2333,108,280,1500,824,99,562,620,1056,38,NA,370,NO,ok
10,8,10,2017,230769,1,NA,NA,without,compound,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,0.5,1,331,184,144,1345,NA,NA,NA,NA,167,73,NA,NA,NO,ok
10,8,10,2017,230645,1.25,NA,NA,without,compound,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,0.5,1,675,414,181,1345,NA,NA,NA,NA,225,134,NA,NA,NO,ok
10,8,10,2017,240636,1.25,NA,0,Horizontal,simple,alternate,distic,r,r?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,10,10,309,7,162,1345,503,96,213,250,152,3,NA,148,NO,ok
10,8,10,2017,240654,1.25,NA,?,?,simple,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,3,3,1622,98,307,1345,NA,NA,NA,NA,519,29,NA,NA,NO,ok
