TRIP#,Date Collected,file name,plant ID,image height (px),image width (px),Leaf id,,Area pred (cm^2),Area real (px^2),Blade length (px),Tip length (px),patiole length (px),Width (px),Have holes?,Borders are damaged?,Obs
,,16_HIRTELLA_001,,3507,2550,1,,113.5856995,1569661,,,,,N,N,BROWN PATCH
,,16_HIRTELLA_001,,3507,2550,2,,112.5241313,1554991,,,,,N,N,
,,16_HIRTELLA_02,,3507,2550,1,,113.7560425,1572015,,,,,N,N,
,,16_HIRTELLA_02,,3507,2550,2,,102.4128208,1415261,,,,,N,N,BROWN PATCH
,,16_HIRTELLA_03,,3507,2550,1,,122.4276871,1691850,,,,,N,N,
,,16_HIRTELLA_03,,3507,2550,2,,123.3406936,1704467,,,,,N,N,
,,16_HIRTELLA_04,,3507,2550,1,,100.7585979,1392401,,,,,N,N,BROWN PATCH
,,17_OURATEA_001,,3507,2550,1,,140.0599949,1935514,,,,,N,N,
,,17_OURATEA_001,,3507,2550,2,,32.34027378,446916,,,,,N,N,
,,17_OURATEA_001,,3507,2550,3,,122.5264629,1693215,,,,,N,N,
,,17_OURATEA_02,,3507,2550,1,,37.00285212,511349,,,,,N,N,
,,17_OURATEA_02,,3507,2550,2,,187.8023425,2595274,,,,,N,N,
,,17_OURATEA_02,,3507,2550,3,,61.28736456,846941,,,,,N,N,
,,17_OURATEA_03,,3507,2550,1,,208.9600409,2887656,,,,,N,N,
,,17_OURATEA_04,,3507,2550,1,,161.1150099,2226477,,,,,N,N,
,,18_HEOBROMA_001,,3507,2550,1,,143.8595697,1988021,,,,,N,N,
,,18_HEOBROMA_001,,3507,2550,2,,96.48945835,1333405,,,,,N,N,
,,18_HEOBROMA_02,,3507,2550,1,,109.5086842,1513320,,,,,Y,Y,MODERATE DAMAGE
,,18_HEOBROMA_02,,3507,2550,2,,113.4750562,1568132,,,,,N,N,
,,18_HEOBROMA_03,,3507,2550,1,,142.2637439,1965968,,,,,Y,N,MODERATE HOLES
,,18_HEOBROMA_03,,3507,2550,2,,106.8607699,1476728,,,,,Y,N,MODERATE HOLES
