"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","cd1","cd2","cpa","ldm","sp","dbh0","larea","aldm"
220020,7,8,2,1.812,600,1,7,"simple",101,150,11898.7821754713,1.09,"Eschweilera pedicellata",14,24.7140810381676,0.155714285714286
220605,7,8,3,2.722,504,1,6,"simple",154,83,10038.9593245462,1.93,"Eschweilera pedicellata",25,38.6772280406029,0.321666666666667
220763,7,8,5,1.382,289,1,5,"simple",87,145,9907.79783125881,1.03,"Eschweilera pedicellata",11,38.3705310727515,0.206
90629,8,8,19,1.862,399,1,10,"simple",180,195,27567.4755352504,1.8,"Eschweilera pseudodecolorans",13,28.5709178319342,0.18
90665,8,8,20,1.455,64,1.25,5,"simple",145,76,8655.08776063988,2.82,"Eschweilera pseudodecolorans",11,77.5797227355063,0.564
112950,9,9,22,1.47,82.5,1,5,"simple",207,139,22598.2613554348,7.56,"Eschweilera truncata",12,150.19978724451,1.512
113041,9,9,22,1.954,119,1.125,5,"simple",186,176,25710.7942769789,4.62,"Eschweilera truncata",18,97.4975354594227,0.924
113507,9,9,14,2.812,480,1,5,"simple",172,225,30394.9089234812,3.45,"Eschweilera truncata",24,63.7565175550942,0.69
132517,8,8,22,2.807,617.5,1.25,5,"simple",212,191,31802.3424322895,1.45,"Eschweilera truncata",25,39.6137164462017,0.29
230026,6,7,24,2.28,562.5,1,5,"simple",264,182,37736.8109549206,0.83,"Eschweilera wachenheimii",18,25.5199693668032,0.166
230279,6,7,26,1.644,114,1.5,5,"simple",99,87,6764.63438134222,1.13,"Eschweilera wachenheimii",10,41.214853644953,0.226
240031,6,7,21,2.892,1152,1,7,"simple",259,245,49837.4404583851,3.1,"Eschweilera wachenheimii",28,48.6647199356928,0.442857142857143
240111,6,7,24,1.518,567,1,10,"simple",198,157,24414.8873073731,2.72,"Eschweilera wachenheimii",11,39.9226566733796,0.272
90979,8,8,20,1.658,23,1,5,"simple",107,147,12353.5277120785,11,"Eugenia agathopoda",16,160.486274595017,2.2
220133,7,8,2,2.143,504,1,5,"simple",171,159,21354.1906646132,1.06,"Eugenia coffeifolia",22,26.3888054129078,0.212
230528,6,7,26,1.047,279,1,10,"simple",104,100,8168.14089933346,1.62,"Eugenia coffeifolia",10,25.1701366929998,0.162
220323,7,8,2,1.312,17.5,2,5,"simple",63,80,3958.40674352314,7.24,"Eugenia cupulata",13,133.640727110598,1.448
220510,7,8,3,1.836,47,1.5,5,"simple",33,120,3110.1767270539,3.86,"Eugenia cupulata",18,96.1653578175952,0.772
230476,6,7,26,1.58,957,1.5,20,"simple",168,97,12798.8484707248,1.57,"Eugenia ferreiraeana",12,10.0236895204106,0.0785
90819,8,8,19,1.304,22,1,2,"simple",148,52,6044.42426550676,4.22,"Eugenia illepida",13,181.289038650586,2.11
153850,10,10,7,2.841,500,1,20,"simple",165,194,25140.5952103523,1.36,"Eugenia longiracemosa",22,11.4655396282881,0.068
90875,8,8,19,1.408,300,1,10,"simple",162,94,11960.0432322163,1.3,"Eugenia patrisii",10,19.6979660736016,0.13
100654,8,8,18,1.475,98,1.5,6,"simple",125,107,10504.7004354409,1.52,"Eugenia pseudopsidium",13,29.6981242860989,0.253333333333333
132819,8,8,23,1.553,165,1.25,10,"simple",86,126,8510.57449857475,1.9,"Eugenia pseudopsidium",14,22.0014894764331,0.19
132296,8,8,22,3.085,864,1,10,"simple",208,184,30058.7585095471,2.31,"Eugenia ramiflora",31,27.6865888238361,0.231
172384,10,10,4,1.45,60,1,8,"simple",170,94,12550.6626510912,2.48,"Eugenia sp.13.FITO",14,39.2963223877072,0.31
230346,6,7,26,1.529,286,1.5,7,"simple",135,136,14419.9102799771,5.17,"Eugenia sp.2.PFRD",22,56.2556407188651,0.738571428571429
170234,10,10,7,1.747,63,1,7,"simple",154,90,10885.6185446886,3.65,"Faramea sp.5.FITO",18,49.8906353136093,0.521428571428571
100305,8,8,18,2.29,140,1.5,5,"simple",159,148,18481.9895810688,3.2,"Fusaea longifolia",17,66.4985571504357,0.64
220231,7,8,2,1.205,60,1,5,"simple",133,109,11385.9171747728,2.39,"Fusaea longifolia",12,63.1130012296397,0.478
230373,6,7,26,2.803,407,2,6,"simple",179,179,25164.9425534176,2.31,"Fusaea longifolia",20,57.7469584853449,0.385
170228,10,10,7,2.443,192,1,6,"simple",218,203,34757.0103229907,5.58,"Garcinia acuminata",20,89.3657107525278,0.93
111508,8,8,17,1.21,6.5,1,1,"even-pinnate",68,136,7263.3622150996,2.34,"Guarea carinata",15,61.7370926945067,2.34
111672,8,8,17,1.856,24,1.25,0.5,"compound",148,164,19063.1842219829,4.29,"Guarea convergens",15,69.7216473404719,8.58
111599,8,8,17,2.244,30,1.5,1,"compound",171,138,18533.825859853,2.25,"Guarea sp.5.FITO",18,40.5433375837333,2.25
172340,10,10,4,3.102,38.5,1.25,2,"simple",91,180,12864.8219164502,9.15,"Guatteria discolor",21,359.420834525568,4.575
220063,7,8,2,2.355,55,1,5,"simple",129,157,15906.6690032885,6.75,"Guatteria discolor",24,123.546161449951,1.35
220064,7,8,2,1.601,78,1,5,"simple",116,116,10568.3176866761,5.63,"Guatteria discolor",14,131.583875397834,1.126
220177,7,8,2,2.04,210,1,5,"simple",95,121,9028.15188825367,2.1,"Guatteria discolor",21,71.3406106976683,0.42
220299,7,8,2,2.205,910,1.5,11,"simple",223,195,34153.039135338,1.86,"Guatteria discolor",17,29.9782482793588,0.169090909090909
220335,7,8,2,1.511,85,1,3,"simple",125,109,10701.0499762902,4.53,"Guatteria discolor",12,120.647226367631,1.51
220641,7,8,3,1.68,288,1,6,"simple",121,145,13779.8107768082,3.77,"Guatteria discolor",16,89.9241617194796,0.628333333333333
220812,7,8,5,1.975,259,1.5,10,"simple",144,109,12327.6095726863,3.2,"Guatteria discolor",19,41.7122204192343,0.32
240107,6,7,24,2.063,105,1,4,"simple",228,210,37604.8640634698,5.7,"Guatteria discolor",20,140.692213804557,1.425
240115,6,7,24,2.981,380,1,10,"simple",205,124,19964.8213135631,2.7,"Guatteria discolor",29,33.4891770693832,0.27
