"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","ldm","sp","dbh0"
122532,9,9,14,1340,77,1,5,"simple",91,"Miconia regelii",12
153598,10,10,7,1922,520,1.25,5,"simple",192,"Miconia sp.7.FITO",11
153866,10,10,7,1490,120,1.5,5,"simple",605,"Miconia sp.nov.aff.lepidota/punctata.FITO",10
132949,10,10,7,2104,145,1.125,6,"simple",556,"Micrandropsis scleroxylon",13
90617,8,8,19,1489,792,1.25,20,"simple",77,"Micropholis venulosa",18
90883,8,8,19,1663,1170,1,30,"simple",43,"Micropholis venulosa",15
100550,8,8,19,768,8,1.25,5,"simple",219,"Micropholis venulosa",15
113070,9,9,22,1634,126,1.125,6,"simple",250,"Minquartia guianensis",16
113113,9,9,22,1594,23.5,1,2,"compound",210,"Minquartia guianensis",15
153836,10,10,7,980,36,1.125,5,"simple",718,"Mollinedia ovata",10
90832,8,8,19,1194,696,1,7,"simple",79,"Mouriri angulicosta",10
153860,10,10,7,1953,475,1.25,10,"simple",312,"Mouriri collocarpa",14
153870,10,10,7,1525,110,1.25,5,"simple",608,"Mouriri collocarpa",10
170211,10,10,7,2189,245,1,8,"simple",667,"Mouriri dimorphandra",17
122158,10,10,6,2205,510,2.5,10,"simple",237,"Mouriri trunciflora",18
202802,10,10,4,1469,187,1,10,"simple",260,"Myrcia cuprea",14
153811,10,10,7,1713,352,1.125,20,"simple",227,"Myrcia rufipila",15
172307,10,10,4,2304,210,1,15,"simple",222,"Myrcia rufipila",24
240882,10,10,5,1969,357,1,10,"simple",233,"Myrcia rufipila",19
113178,9,9,15,992,8,1,2,"simple",324,"Neea madeirana",10
90867,8,8,19,1811,285,1.25,5,"simple",152,"Neea sp.3.FITO",15
122693,9,9,15,2007,456,1,8,"simple",266,"Ocotea aff.pauciflora.PFRD",15
122680,9,9,15,1721,144,1,6,"simple",242,"Ocotea cujumary",16
112963,9,9,22,1426,142.5,1,9,"simple",231,"Ocotea percurrens",14
122671,9,9,15,1664,235,1,10,"simple",151,"Ocotea percurrens",15
113410,9,9,15,1655,30,1,5,"simple",399,"Ocotea sp.4.FITO",17
122555,9,9,14,2682,243,1.25,10,"simple",138,"Ocotea sp.8.PP",27
112938,9,9,22,1587,33,1,7,"simple",565,"Ocotea sp.D.PFRD",16
90603,8,8,19,1180,60,1.25,5,"simple",652,"Onychopetalum amazonicum",20
101043,8,8,18,1752,3,1,0.5,"compound",745,"Ormosia paraensis",17
113311,9,9,15,2044,63,1,3,"simple",457,"Ouratea discophora",18
173539,10,10,4,2097,288,1,5,"simple",447,"Ouratea discophora",20
173724,10,10,4,1445,30,1,4,"simple",696,"Ouratea discophora",14
113440,9,9,15,1150,144,1,7,"simple",207,"Ouratea leprieuri",11
90628,8,8,19,1552,36,1,2,"simple",318,"Ouratea odora",15
113334,9,9,15,1972,168,1.25,10,"simple",229,"Parinari excelsa/parvifolia PP",21
122258,10,10,6,2675,23,1,2,"bipinnate",354,"Parkia decussata",25
122472,10,10,6,2605,16,1.125,1,"simple",776,"Pausandra macropetala",26
170066,10,10,7,1990,16,1,1,"simple",992,"Pausandra macropetala",18
170341,10,10,7,2700,31,2,1,"simple",755,"Pausandra macropetala",25
202692,10,10,4,1528,19,1,1,"simple",445,"Pausandra macropetala",14
202726,10,10,4,1434,23,1,1,"simple",410,"Pausandra macropetala",13
122146,10,10,6,2037,33,2.5,2,"simple",672,"Pausandra trianae",21
113115,9,9,22,2560,57.5,1,3,"bifoliolate",254,"Peltogyne paniculata",27
113190,9,9,15,2734,40,1.25,3,"simple",601,"Perebea guianensis",24
90792,8,8,20,1650,72,1.25,5,"simple",214,"Phyllanthus manausensis",18
90742,8,8,20,1309,133,1,2,"compound",118,"Picramnia juniniana",11
142552,10,10,7,2809,200,2,5,"simple",556,"Pisonia tomentosa",22
132933,10,10,7,2061,280,1.125,9,"simple",331,"Pogonophora schomburgkiana",16
153840,10,10,7,3747,72,1.5,2,"simple",986,"Pourouma cucura",13
90793,8,8,20,1502,10,1.25,1,"simple",422,"Pourouma myrmecophila",14
142754,10,10,7,1314,10,1,2,"simple",586,"Pourouma sp.B.PP",12
202722,10,10,4,1623,17,1,2,"simple",744,"Pourouma tomentosa",12
220880,7,8,5,2161,60,1,3,"simple",668,"Pouteria ambelaniifolia",18
113382,9,9,15,1855,91,1,7,"simple",192,"Pouteria coriacea",18
90796,8,8,20,2171,784,1,15,"simple",175,"Pouteria cuspidata",18
240778,10,10,5,1405,32,1,6,"simple",402,"Pouteria decorticans",15
142633,10,10,7,2226,110,2,5,"simple",363,"Pouteria durlandii",18
132792,8,8,23,1180,56,1,5,"simple",152,"Pouteria escalarinerve PP",10
132901,10,10,7,1613,44,1.5,6,"simple",971,"Pouteria filipes",13
122068,10,10,6,968,30,1.25,5,"simple",172,"Pouteria fimbriata",10
113461,9,9,15,1796,75,1,7,"simple",390,"Pouteria freitasii",18
90760,8,8,20,1511,32,1,5,"simple",309,"Pouteria guianensis",14
100543,8,8,18,969,35,1.25,3,"simple",610,"Pouteria guianensis",19
100738,8,8,17,2550,48,1.25,2,"simple",524,"Pouteria guianensis",22
113283,9,9,15,1721,18,1,4,"simple",514,"Pouteria macrophylla",17
240914,10,10,5,1776,16,1,2,"simple",234,"Pouteria manaosensis",17
90702,8,8,20,2380,87.5,1,5,"simple",675,"Pouteria minima",24
170229,10,10,7,1161,13,1,3,"simple",762,"Pouteria opposita",12
132788,8,8,23,2257,88,1,5,"simple",643,"Pouteria reticulata",20
90812,8,8,20,1157,12,1,2,"simple",242,"Pouteria retinervis",11
100844,8,8,18,2186,100,1,5,"simple",443,"Pouteria rostrata",19
91123,8,8,20,1409,48,1,3,"simple",217,"Pouteria sp.4.FITO",13
122239,10,10,6,1678,110,1,7,"simple",359,"Pouteria sp.7.FITO",16
170098,10,10,7,1430,7,1.125,0.5,"compound",220,"Protium altsonii",13
100519,8,8,18,1556,9,1.5,0.5,"odd-pinnate",448,"Protium apiculatum",12
132827,8,8,23,2171,112,1.5,2,"odd-pinnate",172,"Protium aracouchini",17
100521,8,8,18,2270,98,1.5,4,"simple",496,"Protium decandrum",13
202816,10,10,4,3000,24,1.25,0.5,"compound",308,"Protium decandrum",17
242419,10,10,5,1749,9,1,0.5,"compound",243,"Protium decandrum",18
242493,10,10,5,2195,8,2,0.5,"compound",470,"Protium decandrum",14
220710,7,8,3,1501,26,1.5,1,"odd-pinnate",452,"Protium ferrugineum",12
112961,9,9,22,1613,12,1,1,"compound",530,"Protium guianense",13
113462,9,9,15,2450,126,1.25,2,"compound",137,"Protium guianense",25
100489,8,8,17,1814,20,1.5,0.5,"odd-pinnate",262,"Protium hebetatum",10
122705,9,9,15,2729,38.5,1.25,0.5,"compound",123,"Protium hebetatum",21
